"eid","pid","effect_size.o","n.o","p_value.o","power.o","replicate"
"eerp.1","eerp",0.18282197,120,0.046,0.518864645035727,"failure"
"eerp.2","eerp",0.31051865,117,0.057,0.930800055311097,"success"
"eerp.3","eerp",0.71984988,216,0.0070000002,1,"success"
"eerp.4","eerp",0.38394338,162,0.0099999998,0.99920300841706,"success"
"eerp.5","eerp",0.84250855,72,0.033,1,"failure"
"eerp.6","eerp",0.11776898,158,0.001,0.314800287089614,"success"
"eerp.7","eerp",0.76151019,54,0.0099999998,0.999999914711349,"failure"
"eerp.8","eerp",0.72250921,168,9.9999997e-05,1,"success"
"eerp.9","eerp",0.21292183,112,0.029999999,0.620338048136283,"failure"
"eerp.10","eerp",0.45328194,60,0.011,0.960567998425193,"success"
"eerp.11","eerp",0.64259011,78,4e-11,0.999998555141462,"success"
"eerp.12","eerp",0.3037416,124,0.001,0.933518139734671,"success"
"eerp.13","eerp",0.8320657,120,0.0038999999,1,"failure"
"eerp.14","eerp",0.28210321,58,0.030999999,0.581817191829917,"failure"
"eerp.15","eerp",0.48622337,288,1.631e-18,0.99999999999889,"success"
"eerp.16","eerp",0.66440928,120,0.0163,0.999999999991495,"success"
"eerp.17","eerp",0.32389686,126,2.6e-05,0.962435923367311,"success"
"eerp.18","eerp",0.28226173,42,0.07,0.448454931064687,"failure"
"ml1.1","ml1",0.113222405840198,213,0.0993513318360307,0.378841709408216,"success"
"ml1.2","ml1",0.32,307,7.36139202535473e-09,0.999936232578953,"success"
"ml1.3","ml1",0.416612123712639,103,9.84215705384592e-06,0.993701969707959,"success"
"ml1.4","ml1",0.416612123712639,103,9.84215705384592e-06,0.993701969707959,"success"
"ml1.5","ml1",0.416612123712639,103,9.84215705384592e-06,0.993701969707959,"success"
"ml1.6","ml1",0.416612123712639,103,9.84215705384592e-06,0.993701969707959,"success"
"ml1.7","ml1",0.235429929558885,80,0.0108506080616656,0.562317836665501,"success"
"ml1.8","ml1",0.241522945769824,132,0.00552208254660063,0.801763074762148,"success"
"ml1.12","ml1",0.247092907252396,70,0.0454819198371132,0.547006361973653,"failure"
"ml1.13","ml1",0.371904642581889,30,0.0430016297258291,0.539351839652475,"failure"
"ml1.14","ml1",0.394451205002235,33,0.0231126487213909,0.63837809240535,"success"
"ml1.15","ml1",0.449859317192331,79,3.19140795123155e-05,0.988914800097812,"success"
"ml1.16","ml1",0.42,243,4.04457703913783e-12,0.999999695798551,"success"
"ml3.1","ml3",0.363782875334313,42,0.0178742469229744,0.671984512825622,"failure"
"ml3.2","ml3",0.135541138399416,202,0.0264849757804233,0.487285207404368,"failure"
"ml3.3","ml3",0.104951524121134,357,0.0484819620146738,0.509763055862798,"failure"
"ml3.4","ml3",0.379353281135444,152,1.09290946744019e-06,0.998297516441767,"success"
"ml3.5","ml3",0.843437180163983,40,7.18495115922738e-10,0.999999989423376,"success"
"ml3.6","ml3",0.399607930882774,80,0.000240476872850526,0.961963362088493,"failure"
"ml3.7","ml3",0.411701255456926,114,6.4881187622888e-06,0.996196628496582,"failure"
"ml3.8","ml3",0.46,128,2.69605867934825e-08,0.999852314271073,"failure"
"ml3.9","ml3",0.304724700110022,56,0.0225868881641797,0.636458752395235,"success"
"ml3.10","ml3",0.284834244730345,51,0.0427778268751682,0.534551291684947,"failure"
"rpp.1","rpp",0.594605285,13,0.019394664,0.608309222353551,"failure"
"rpp.2","rpp",0.611120054,23,0.001173471,0.898827183416202,"failure"
"rpp.3","rpp",0.424979665,24,0.030449585,0.562129379790831,"failure"
"rpp.4","rpp",0.228739615,190,0.00141669,0.891005171966745,"failure"
"rpp.5","rpp",0.461300742,31,0.00689115,0.763224459726542,"failure"
"rpp.6","rpp",0.594960462,23,0.001706566,0.876909361266149,"success"
"rpp.7","rpp",0.715143728,99,2.22e-17,0.999999999996776,"failure"
"rpp.8","rpp",0.561422534,37,0.000200441,0.962789138789341,"failure"
"rpp.10","rpp",0.698586719,28,1.76e-05,0.992297032558239,"success"
"rpp.11","rpp",0.672084167,21,0.000443918,0.94073699042936,"success"
"rpp.12","rpp",0.178477629,92,0.048407105,0.401332219853226,"failure"
"rpp.13","rpp",0.52450217,68,1.59e-12,0.99716351675431,"success"
"rpp.15","rpp",0.195136354,94,0.028373705,0.473849373181194,"success"
"rpp.17","rpp",0.304772411,76,0.000405826,0.771872775823587,"success"
"rpp.19","rpp",0.560499145,31,0.000692486,0.92473807877139,"failure"
"rpp.20","rpp",0.224092029,94,0.028172412,0.588903812336217,"failure"
"rpp.22","rpp",0.219359299,93,0.002218001,0.565661043470275,"failure"
"rpp.24","rpp",0.363732358,152,3.54e-06,0.99660263692206,"success"
"rpp.25","rpp",0.348120689,48,6.83e-05,0.69118139537876,"success"
"rpp.27","rpp",0.378068955,31,0.030057008,0.569123371781351,"success"
"rpp.28","rpp",0.341773488,31,0.051569634,0.480195557882869,"failure"
"rpp.29","rpp",0.73782079,7,0.023249789,0.519065761193176,"success"
"rpp.32","rpp",0.623367433,36,2.91e-05,0.988809983155229,"success"
"rpp.33","rpp",0.516812354,39,0.000541079,0.934387575473364,"success"
"rpp.36","rpp",0.713921386,20,0.000190422,0.964216644568933,"success"
"rpp.37","rpp",0.551178255,11,0.05088911,0.445231792735256,"failure"
"rpp.39","rpp",0.366615713,68,0.001935206,0.876995835463853,"failure"
"rpp.43","rpp",0.347251138,64,0.000146111,0.813055652369553,"failure"
"rpp.44","rpp",0.352175067,67,0.003000884,0.842010220684075,"success"
"rpp.48","rpp",0.225490086,92,0.028875522,0.585020308311045,"failure"
"rpp.49","rpp",0.378345294,34,0.022889441,0.612082384643667,"failure"
"rpp.50","rpp",0.208058463,92,0.015520906,0.51648506141986,"failure"
"rpp.52","rpp",0.20573686,131,0.017513309,0.658845397439266,"failure"
"rpp.53","rpp",0.377126878,31,0.030503191,0.5668055248264,"failure"
"rpp.55","rpp",0.229852265,54,0.049036287,0.391541190640264,"failure"
"rpp.56","rpp",0.379139495,99,9.23e-05,0.975438918563721,"failure"
"rpp.58","rpp",0.167288593,182,0.023221684,0.619780087349576,"failure"
"rpp.61","rpp",0.219666896,108,0.021121432,0.632139327102614,"failure"
"rpp.63","rpp",0.274010238,68,0.021711499,0.626128934161457,"failure"
"rpp.64","rpp",0.425496777,76,3.81e-08,0.97409752408121,"failure"
"rpp.65","rpp",0.431865646,41,0.003830676,0.820994828388779,"failure"
"rpp.68","rpp",0.185849827,116,0.043910406,0.518496177409217,"failure"
"rpp.71","rpp",0.222131584,373,1.41e-05,0.991590275909163,"failure"
"rpp.72","rpp",0.207643072,257,0.000773087,0.919852903104656,"failure"
"rpp.80","rpp",0.259958534,43,0.044070981,0.397255443627385,"failure"
"rpp.81","rpp",0.268278965,90,0.009719762,0.731612425595625,"failure"
"rpp.84","rpp",0.503449638,52,0.000282953,0.974376453810625,"success"
"rpp.86","rpp",0.212014281,82,0.02102091,0.485474798358145,"failure"
"rpp.87","rpp",0.395559206,51,0.003371756,0.832319963027853,"failure"
"rpp.93","rpp",0.317462994,83,0.003071238,0.840568405513763,"failure"
"rpp.94","rpp",0.344312999,26,0.036392019,0.416785762526042,"success"
"rpp.97","rpp",0.378274916,73,0.000819277,0.917801906552723,"failure"
"rpp.104","rpp",0.127392361,236,0.050342933,0.499555897310084,"failure"
"rpp.106","rpp",0.381744212,34,0.021595498,0.620636757528144,"failure"
"rpp.107","rpp",0.222330235,84,0.039641746,0.534069092528967,"failure"
"rpp.110","rpp",0.554427187,278,5.76e-24,1,"failure"
