id;title;authors.o;pub_year;journal;volume;issue;discipline;length;citations;effect_size.o;p_value.o;n.o;effect_type;effect_size.r;p_value.r;n_planned.r;n.r;power.o;power.r;power_planned.r;experiment_country.o;experiment_country.r;experiment_language.o;experiment_language.r;online.o;online.r;compensation.o;compensation.r;subjects.o;subjects.r;endprice;transactions;trading_volume;replicated;project;relative_es;n_authors.o;n_authors.r;author_citations_avg.o;author_citations_max.o;authors_male.o;seniority.o;author_citations_avg.r;author_citations_max.r;authors_male.r;seniority.r;aggregated;lab_id;es_80power;same_country;same_language;same_online;same_subjects;us_lab.o;us_lab.r;drop;item_based;item_based_av;one_item_av;item_based_uv;one_item_uv;item_based_mod;one_item_mod;drop2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"item_based ja = 1
item_based nein = 0";"1: AV item_based
0: AV nicht item_based";"0: Es wurden mehrere Items zur Messung eingesetzt
1: Es wurden nur ein Item zur Messung eingesetzt
NA: Kein item-basierte AV";"1: UV item_based
0: UV nicht item_based ";"0: Es wurden mehrere Items zur Messung eingesetzt
1: Es wurden nur ein Item zur Messung eingesetzt
NA: Kein item-basierte UV";"1: Mind. ein Moderator/Meditator item_based ja
0: Mind. ein Moderator/Meditator item_based nein
NA: Kein Moderator/Mediator vorhanden";"1: Bei mind. einem Moderator/Mediator
wurden nur ein Item zur Messung eingesetzt
0: sonst
NA: Kein (item-basierter) Moderator";
ee.1;Reference points and effort provision;Johannes Abeler and Armin Falk and Lorenz Goette and David Huffman;2011;The American Economic Review;101;2;Economics;23;311;18282197;46;120;main effect;79070352;16;318;318;5,18865E+14;2,9089E+14;9,07644E+14;Germany;Austria;German;German;0;0;cash;cash;students;students;6438279;124;1,84086E+14;0;ee;4,32499E+14;4;4;15205;4182;1;Professor;12925;258;1;Professor;;;1,56337E+14;0;1;1;1;0;0;FALSE;0;0; ;0;;;;FALSE
ee.10;The lure of authority: Motivation and incentive effects of power;Ernst Fehr and Holger Herz and Tom Wilkening;2013;The American Economic Review;103;4;Economics;35;82;45328194;11;60;main effect;31119931;26000001;102;102;9,60568E+14;8,95555E+13;9,98276E+14;Switzerland;Austria;German;German;0;0;cash;cash;students;students;6289412;193;2,84937E+14;1;ee;6,86547E+14;3;4;7,43533E+14;22239;1;Professor;12925;258;1;Professor;;;2,7323E+14;0;1;1;1;0;0;FALSE;0;0; ;0;;;;FALSE
ee.11;A continuous dilemma;Daniel Friedman and Ryan Oprea;2012;The American Economic Review;102;1;Economics;27;52;64259011;4E-11;78;main effect;43795362;4276;40;40;9,99999E+14;8,23268E+12;9,96788E+14;United States;Singapore;English;English;0;0;cash;cash;students;students;8329033;188;2,24726E+14;1;ee;6,81544E+14;2;3;11325;2140;1;Professor;6063;18185;1;Professor;;;4,26538E+14;0;1;1;1;1;0;FALSE;0;0; ;0;;;;FALSE
ee.12;Slow to anger and fast to forgive: cooperation in an uncertain world;Drew Fudenberg and David G. Rand and Anna Dreber;2012;The American Economic Review;102;2;Economics;30;122;3037416;1;124;main effect;32657355;15064729;120;128;9,33518E+14;9,67361E+14;9,25799E+14;United States;United States;English;English;0;0;cash;cash;students;students;9331694;84;8,84623E+13;1;ee;1,07517E+14;3;3;1,70233E+14;3979;6,66667E+14;Professor;6063;18185;1;Professor;;;2,52485E+13;1;1;1;1;1;1;FALSE;0;0; ;0;;;;FALSE
ee.13;Deferred compensation in multiperiod labor contracts: an experimental test of Lazear's model;Steffen Huck and Andrew J. Seltzer and Brian Wallace;2011;The American Economic Review;101;2;Economics;25;14;8320657;38999999;120;main effect;36759353;1415;160;160;1;9,98047E+14;1;United Kingdom;United Kingdom;English;English;0;0;cash;cash;students;students;9204491;74;7,33881E+14;0;ee;4,41784E+14;3;3;5,97333E+14;1599;1;Professor;6063;18185;1;Professor;;;2,19343E+14;1;1;1;1;0;0;FALSE;1;0; ;0;;1;0;FALSE
ee.14;Happiness and time preference: The effect of positive affect in a random-assignment experiment;John Ifcher and Homa Zarghamee;2011;The American Economic Review;101;7;Economics;21;91;28210321;30999999;58;main effect;-70162914;93300003;131;131;5,81817E+14;5,06048E+14;9,08546E+14;United States;United Kingdom;English;English;0;0;cash;cash;students;students;587827;165;2,3711E+14;0;ee;-2,48714E+14;2;3;40;54;5;Assistant Professor;6063;18185;1;Professor;;;2,41898E+14;0;1;1;1;1;0;FALSE;1;1;0;0;;1;1;FALSE
ee.15;Organ Allocation Policy and the Decision to Donate;Judd B. Kessler and Alvin E. Roth;2012;The American Economic Review;102;5;Economics;30;37;48622337;1,631E-15;288;main effect;34463841;16000001;48;48;1E+14;6,81683E+14;9,48941E+14;United States;United States;English;English;0;0;cash;cash;students;students;9369977;144;1,92855E+14;1;ee;7,08807E+14;2;5;3210;6401;1;Professor;2168;9699;4;Professor;;;3,91767E+14;1;1;1;1;1;1;FALSE;0;1; ;0;;;;FALSE
ee.16;Thar she bursts: Reducing confusion reduces bubbles;Michael Kirchler and Jürgen Huber and Thomas Stöckl;2012;The American Economic Review;102;2;Economics;19;102;66440928;163;120;main effect;53355682;94999997;220;220;1E+15;1E+15;1;Germany;Germany;German;German;0;0;cash;cash;students;students;7121724;78;8,65735E+13;1;ee;8,03054E+14;3;3;1,88333E+14;258;1;Professor;3,60167E+14;9699;3,33333E+14;Professor;;;1,87576E+14;1;1;1;1;0;0;FALSE;1;0; ;0;;1;1;FALSE
ee.17;Coordination in the Presence of Asset Markets;Shimon Kogan and Anthony M. Kwasnica and Roberto A. Weber;2011;The American Economic Review;101;2;Economics;21;20;32389686;0,00026;126;main effect;30422324;1;90;90;9,62436E+14;8,37644E+14;8,82868E+14;United States;Austria;English;German;0;0;cash;cash;students;students;8020024;72;9,4736E+14;1;ee;9,3926E+14;3;4;4,58667E+14;1052;1;Professor;12925;258;1;Professor;;;2,90297E+14;0;0;1;1;1;0;FALSE;0;0; ;0;;;;FALSE
