"id","url","title","authors.o","pub_year","journal","volume","issue","discipline","length","citations","effect_size.o","p_value.o","n.o","effect_type.o","effect_size.r","p_value.r","replicated","relative_es","n_groups.o","n_planned1.r","n_groups_planned1.r","n_planned2.r","n_groups_planned2.r","experiment_country.o","experiment_country.r","ssrp_team.r","experiment_language.o","experiment_language.r","online.o","online.r","compensation.o","compensation.r","subjects.o","subjects.r","drop","n_authors.o","n_authors.r","author_citations_avg.o","author_citations_max.o","authors_male.o","highest_seniority.o","author_citations_avg.r","author_citations_max.r","authors_male.r","highest_seniority.r","same_country","same_language","same_online","same_subjects","us_lab.o","us_lab.r","power.o","es_80power1","es_80power2"
"ssrp.1",,"Experimental evidence for the influenze of group size on cultural complexity","Maxime Derex, Marie-Pauline Beugin, Bernard Godelle & Michel Raymond",2013,"Nature",503,,"Social",2,73,0.525,0.000054,366,"main effect",,,"not_replicated",0,51,467,65,1113,155,"France","Singapore","Singapore","French","English",0,0,"cash","cash","students","students",FALSE,4,2,3494.5,11379,0.5,"Professor",1669.5,3339,1,"Professor",0,0,1,1,0,0,0.982759982608543,0.339401724149542,0.222780391223391
"ssrp.10","http://science.sciencemag.org/content/346/6209/632.short","Avoiding overhead aversion in charity","Uri Gneezy, Elizabeth A. Keenan, Ayelet Gneezy",2014,"Science",346,,"Economics",2,28,0.222,0.0027,180,"main effect",,,"replicated",1,180,380,380,863,863,"United States","United States","Wharton","English","English",0,0,"credit","cash","students","students",FALSE,3,4,1990.33333333333,5670,0.333333333333333,"Professor",4547.25,18185,1,"Professor",1,1,1,1,1,1,0.85338281470239,0.143128287148249,0.0951901245887631
"ssrp.11","http://science.sciencemag.org/content/328/5978/613.short","Lab experiments for the study of social-ecological systems","Marco A. Janssen, Robert Holahan, Allen Lee, Elinor Ostrom",2010,"Science",328,,"Economics",4,205,0.631,0.000000008362,105,"main effect",,,"not_replicated",0,63,70,42,173,104,"United States","Singapore","Singapore","English","English",0,0,"cash","cash","students","students",FALSE,4,2,8140,26613,0.75,"Professor",1669.5,3339,1,"Professor",0,1,1,1,1,0,0.999936742037807,0.416985971128854,0.270667517835744
"ssrp.12","http://science.sciencemag.org/content/331/6018/772.short","Retrieval practice produces more learning than elaborate studying with concept mapping","Jeffrey D. Karpicke, Janell R. Blunt",2011,"Science",331,,"Cognitive",3,434,0.602,0.000039,40,"main effect",,,"replicated",1,40,47,47,114,114,"United States","United States","UVA","English","English",0,0,"credit","mixed","students","students",FALSE,2,4,1328,2410,0.5,"Associate Professor",2268.5,9039,0.75,"Professor",1,1,1,1,1,1,0.989800525573864,0.395661413309404,0.258852770545403
"ssrp.13","http://science.sciencemag.org/content/342/6156/377","Reading literary fiction improves theory of mind","David Comer Kidd, Emanuele Castano",2013,"Science",342,,"Cognitive",3,297,0.269,0.0133,86,"main effect",,,"not_replicated",0,86,263,263,601,601,"United States","United States","Sweden","English","English",1,1,"cash","cash","online","online",FALSE,2,5,658,1183,1,"Professor",2168,9699,0.4,"Professor",1,1,1,1,1,1,0.714100926643384,0.171733025140702,0.11399644879406
"ssrp.14","http://science.sciencemag.org/content/330/6012/1830.short","The social sense: susceptibility to others’ beliefs in human infants and adults","Ágnes Melinda Kovács, Ernő Téglás, Ansgar Denis Endress",2010,"Science",330,,"Cognitive",4,383,0.45,0.0238,24,"main effect",,,"replicated",1,24,89,89,209,209,"Italy","Singapore","Singapore","Italian","English",0,0,"cash","cash","community","community",FALSE,3,2,564.666666666667,671,0.666666666666667,"Researcher",1669.5,3339,1,"Professor",0,0,1,1,0,0,0.61816035573237,0.291873075189717,0.192350137739766
"ssrp.15","http://science.sciencemag.org/content/328/5979/709","Washing away postdecisional dissonance","Spike W. S. Lee, Norbert Schwarz",2010,"Science",328,5979,"Social",1,144,0.388,0.0133,40,"interaction",,,"not_replicated",0,40,123,123,286,286,"United States","United States","UVA","English","English",0,0,"credit","credit","students","students",FALSE,2,4,7413.5,14228,1,"Professor",2268.5,9039,0.75,"Professor",1,1,1,1,1,1,0.711408096190014,0.249454220508502,0.164771252320249
"ssrp.17","http://science.sciencemag.org/content/330/6010/1530","Thought for food: imagined consumption reduces actual consumption","Carey K. Morewedge, Young Eun Huh, Joachim Vosgerau",2010,"Science",330,,"Cognitive",3,174,0.453,0.0092,32,"main effect",,,"replicated",1,32,89,89,211,211,"United States","Germany","Insbruck","English","German",0,0,"credit","cash","students","students",FALSE,3,4,438.666666666667,1006,0.666666666666667,"Professor",121.5,258,0.75,"Professor",0,0,1,1,1,0,0.759820609974154,0.291873075189717,0.191447596708723
"ssrp.18","http://science.sciencemag.org/content/330/6002/335","Why testing improves memory: mediator effectiveness hypothesis","Mary A. Pyc, Katherine A. Rawson",2010,"Science",330,,"Cognitive",1,177,0.377,0.0236,36,"main effect",,,"not_replicated",0,36,132,132,306,306,"United States","United States","Wharton","English","English",0,0,"credit","cash","students","students",FALSE,2,4,1096,1760,0,"Professor",4547.25,18185,1,"Professor",1,1,1,1,1,1,0.635083227675822,0.241001711283855,0.159342718931814
"ssrp.19","http://science.sciencemag.org/content/331/6014/211","Writing about testing worries boosts exam performance in classroom","Gerardo Ramirez, Sian L. Beilock",2011,"Science",331,,"Social",2,171,0.793,0.00003,20,"main effect",,,"replicated",1,20,25,25,66,66,"United States","United States","UVA","English","English",0,0,"mixed","mixed","community","students",FALSE,2,4,2050,3680,0.5,"Professor",2268.5,9039,0.75,"Professor",1,1,1,0,1,1,0.994921597613567,0.528031316926624,0.336938941206028
"ssrp.2",,"Cooperating with the future","Oliver P. Hauser, David G. Rand, Alexander Peysakhovich & Martin A. Nowak",2014,"Nature",511,,"Economics",3,62,0.816,0.0000000001427,850,"main effect",,,"not_replicated",0,40,468,22,1254,59,"United States","United States","Sweden","English","English",1,1,"cash","cash","online","online",FALSE,4,5,11688.25,46502,1,"Professor",2168,9699,0.4,"Professor",1,1,1,1,1,1,0.999999794110541,0.558581953318262,0.35538399640026
"ssrp.20","http://science.sciencemag.org/content/338/6107/682","Some consequences of having too little","Anuj K. Shah, Sendhil Mullainathan, Eldar Shafir",2012,"Science",338,,"Economics",3,259,0.267,0.046,56,"main effect",,,"replicated",1,56,263,263,602,602,"United States","United States","Sweden","English","English",1,1,"cash","cash","online","online",FALSE,3,5,16666,46502,1,"Professor",2168,9699,0.4,"Professor",1,1,1,1,1,1,0.518920227902178,0.171733025140702,0.113901962666456
"ssrp.21","http://science.sciencemag.org/content/333/6043/776","Google effect on memory: cognitive consequences of having information at our fingertips","Betsy Sparrow, Jenny Liu, Daniel M. Wegner",2011,"Science",333,,"Cognitive",2,521,0.437,0.0021,46,"main effect",,,"not_replicated",0,46,93,93,218,218,"United States","United States","Wharton","English","English",0,0,"mixed","cash","students","students",FALSE,3,4,3955.66666666667,11229,0.333333333333333,"Professor",121.5,258,0.75,"Professor",1,1,1,1,1,1,0.873111020699159,0.28573203856777,0.188372515107606
"ssrp.22","http://science.sciencemag.org/content/345/6192/75","Just think: the challenges of the disengaged mind","Timothy D. Wilson, David A. Reinhard, Erin C. Westgate, Daniel T. Gilbert, Nicole Ellerbeck, Cheryl Hahn, Casey L. Brown, Adi Shaked",2014,"Science",345,,"Social",2,65,0.674,0.000044,30,"main effect",,,"replicated",1,30,36,36,91,91,"United States","United States","Wharton","English","English",0,0,"credit","cash","students","students",FALSE,8,4,2754.625,12704,0.5,"Professor",121.5,258,0.75,"Professor",1,1,1,1,1,1,0.99052866583257,0.447776792405689,0.288751121589737
"ssrp.3","http://www.nature.com/nature/journal/v526/n7573/abs/nature15392.html","Inequality and visibility of wealth in experimental social networks","Akihiro Nishi, Hirokazu Shirado, David G. Rand & Nicholas A. Christakis",2015,"Nature",526,,"Economics",3,18,0.201,0.0044,366,"main effect",,,"not_replicated",0,200,845,462,1917,1048,"United States","United States","Sweden","English","English",1,1,"cash","cash","online","online",FALSE,4,5,4672,18622,1,"Professor",2168,9699,0.4,"Professor",1,1,1,1,1,1,0.817678358636975,0.129875639452679,0.0864390281498841
"ssrp.4","http://www.nature.com/nature/journal/v489/n7416/abs/nature11467.html","Spontaneous giving and calculated greed","David G. Rand, Joshua D. Greene & Martin A. Nowak",2012,"Nature",489,,"Economics",3,458,0.141,0.0089,343,"main effect",,,"replicated",1,343,942,942,2127,2127,"United States","United States","Sweden","English","English",1,1,"cash","cash","online","online",FALSE,3,5,17251,46502,1,"Professor",2168,9699,0.4,"Professor",1,1,1,1,1,1,0.745627797980213,0.0911315048702079,0.0607189037616449
"ssrp.5","http://science.sciencemag.org/content/328/5986/1712","Incidental haptic sensations influence social judgments and decisions","Joshua M. Ackerman, Christopher C. Nocera, John A. Bargh",2020,"Science",328,,"Social",3,335,0.27,0.049,54,"main effect",,,"not_replicated",0,54,259,259,593,593,"United States","United States","UVA","English","English",0,0,"nothing","cash","community","community",FALSE,3,4,6622.66666666667,18755,1,"Professor",2268.5,9039,0.75,"Professor",1,1,1,1,1,1,0.513171763240706,0.173027663824264,0.11476092776591
"ssrp.6","http://science.sciencemag.org/content/338/6111/1225.short","Body cues, not facial expressions, discriminate between intense positive and negative emotions","Hillel Aviezer, Yaacov Trope, Alexander Todorov",2012,"Science",338,,"Cognitive",4,173,0.961,0.000000001551,15,"main effect",,,"replicated",1,15,14,14,41,41,"United States","Germany","Germany","English","German",0,0,"credit","cash","students","students",FALSE,3,4,3325,4779,1,"Professor",121.5,258,0.75,"Professor",0,0,1,1,1,0,0.999999602176485,0.675763318550827,0.421681021350793
"ssrp.7","http://science.sciencemag.org/content/335/6068/579.short","Affirmative action policies promote women and do not harm efficiency in the laboratory","Loukas Balafoutas, Matthias Sutter",2012,"Science",335,,"Economics",3,98,0.197,0.018,144,"main effect",,,"not_replicated",0,144,485,485,1099,1099,"Germany","Germany","Germany","German","German",0,0,"cash","cash","students","students",FALSE,2,4,955,1786,1,"Professor",121.5,258,0.75,"Professor",1,1,1,1,0,0,0.661849793826611,0.126815651171173,0.0843695951164403
"ssrp.8","http://science.sciencemag.org/content/337/6093/485.short","Memory’s penumbra: episodic memory decisions induce lingering mnemonic biases","Katherine Duncan, Arhanti Sadanand, Lila Davachi",2012,"Science",337,,"Cognitive",2,41,0.674,0.0042,15,"main effect",,,"replicated",1,15,36,36,92,92,"United States","Germany","Germany","English","German",0,0,"credit","cash","students","students",FALSE,3,4,1360.33333333333,3807,0,"Associate Professor",121.5,258,0.75,"Professor",0,0,1,1,1,0,0.828721354151496,0.447776792405689,0.287229679332415
